"taxon","stamenNumber","filament_color","nectary_presence","InfType","CalShape","FlowMerosity","inflorescence_peduncle_length_mean","inflorescence_length_mean","CalLengthMean","ColLengthMean","FilLengthMean","rate"
"Mimosa polycarpa",1,2,NA,2,NA,1,10.5,5.25,NA,2.4,6.25,0.00593054353319416
"Mimosa pectinatipinna",NA,0,NA,2,2,NA,11,4.5,1.05,1.95,4,0.00560586027222699
"Mimosa velloziana",1,2,NA,2,NA,1,11.5,5.5,0.325,2.3,4.5,0.00804063054725438
"Mimosa albida",1,2,NA,2,NA,1,25,5.5,0.275,2.3,5.75,0.00838782412251341
"Mimosa sensibilis",1,0,NA,2,NA,1,25,5,0.2,2.4,5,0.00498308318147876
"Mimosa debilis",1,2,NA,2,NA,1,12.5,6,0.275,2.3,5.75,0.00769123243275477
"Mimosa acapulcensis",1,2,NA,2,NA,1,30,6,0.55,2.55,5.75,0.00387946529311677
"Mimosa sousae",2,2,NA,2,NA,2,42.5,8,1.75,3.5,7.5,0.00572276735004131
"Mimosa oligophylla",1,2,NA,2,NA,1,9,9.5,NA,2.9,7.75,0.00661279897855823
"Mimosa flagellaris",1,2,NA,2,0,1,100,7.5,0.375,3.15,6.5,0.00738526014272988
"Mimosa cainguensis",1,2,NA,2,0,1,110,8.75,0.35,3.3,6,0.00374358708969559
"Mimosa psilocarpa",NA,NA,NA,2,NA,NA,NA,6,NA,NA,NA,0.00576320604180897
"Mimosa lactiflua",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.00661450880672708
"Mimosa caerulea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00546670093980918
"Mimosa margaritae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00439121040840493
"Mimosa sicyocarpa",NA,NA,NA,2,0,NA,NA,NA,0.5,NA,NA,0.00996213270439802
"Mimosa deamii",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.00928882937355893
"Mimosa goldmanii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00476511143158867
"Mimosa tricephala",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.00760180142781143
"Mimosa incarum",1,2,NA,2,NA,1,15,4.5,0.325,2.2,4.5,0.00353046418197457
"Mimosa dolens",1,2,NA,2,1,1,65,10.75,1,4.5,7,0.00533353373387879
"Mimosa ramosissima",1,2,NA,2,0,1,11,4.5,1,1.9,3.95,0.00485020583889419
"Mimosa orthacantha",1,2,NA,2,0,1,19,6,0.4,2.45,6.75,0.00718223808355206
"Mimosa gymnas",1,2,NA,2,0,1,37.5,4.75,0.3,2.35,5,0.00448061081998399
"Mimosa obstrigosa",1,2,NA,2,0,1,13,6,0.4,2.85,5,0.00707878468107182
"Mimosa pudica",1,2,NA,2,0,1,20,4.25,0.15,1.8,4.75,0.0121048137928149
"Mimosa xanthocentra",1,2,NA,2,2,1,12.5,7.5,2.15,2.3,7.25,0.00751925371393834
"Mimosa affinis",NA,NA,NA,2,NA,NA,NA,3,NA,2,3,0.0075569779723851
"Mimosa hypoglauca",1,2,NA,2,NA,1,50,7.75,2.2,3.35,6.5,0.00771104667810854
