"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean"
"Calliandra_blanchetii","Subshrubs or shrubs",NA,"capitula",NA,"4 (5)-merous",NA,NA,NA,NA,"turbinate-campanulate",NA,"pink",NA,"present",NA,NA,"absent","",NA,0.225,0.175,1.85,0.425,0.04,0.315,NA,0.715,0.26,NA,3.9
"Calliandra_aeschynomenoides","shrubs",NA,"capitula","hemispherical","5",NA,NA,NA,NA,"campanulate","12",NA,NA,"present",NA,NA,"present","",200,NA,NA,3.5,NA,NA,0.21,0.065,0.43,NA,NA,2.3
"Calliandra_biflora","herbaceous subshrubs","shortly buried caudex","capitula",NA,"5",NA,NA,NA,NA,"campanulate",NA,"whitish",NA,"present",NA,NA,NA,"",45,NA,NA,0.725,0.025,0.04,0.215,0.0925,0.53,0.18,NA,1.95
"Calliandra_chilensis","shrublets",NA,"capitula","compactly umbelliform","4-6-merous",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,"present",NA,"",65,0.15,NA,1.15,0.0375,NA,0.22,0.09,0.49,0.16,NA,1.35
"Calliandra_pauciflora","shrubs",NA,"capitula",NA,"4 (5)-merous",NA,NA,NA,NA,"campanulate or narrowly campanulate",NA,"pink, red, or purple-violet",NA,"present",NA,NA,NA,"",650,NA,NA,NA,NA,NA,0.275,0.11,0.505,0.11,NA,1.55
"Calliandra_enervis","arborescent shrubs",NA,"capitula",NA,"4 (5)-merous",NA,NA,NA,NA,"campanulate",NA,"red",NA,"present",NA,NA,NA,"",1200,NA,NA,0.15,NA,NA,0.185,0.07,0.385,0.175,NA,1.3
"Calliandra_medellinensis",NA,NA,"capitula",NA,NA,NA,NA,"yes",NA,NA,NA,"pallid",NA,NA,NA,NA,NA,"",NA,3,NA,3,NA,NA,0.225,NA,0.77,0.17,NA,3.4
"Calliandra_mollissima","shrubs and treefets",NA,"capitula",NA,"4 (5)-merous",NA,NA,"present",NA,"campanulate",NA,"white",NA,"present",NA,NA,"present","",300,1.9,NA,1.9,NA,NA,0.17,0.0275,0.485,0.11,NA,2.95
"Calliandra_guildingii","Macrophyllidious trees",NA,"capitula",NA,"4 (5)-merous",NA,"present","present",NA,"campanulate",NA,"",NA,"","staminal tube","slender, either included or rarely exserted staminal tube","","",2000,NA,0.225,NA,0.0325,0.06,0.215,0.025,NA,NA,NA,NA
"Calliandra_falcata","trees",NA,"capitula",NA,"4 (5)-merous",NA,NA,"yes",NA,"campanulate",NA,"dark red or crimson",NA,"present","present",NA,"absent","",450,NA,NA,2.75,0.03,0.065,0.205,0.03,0.9,0.315,NA,3.85
