"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean"
"Mimosa_debilis_debilis","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_debilis_angusta","diffuse or humifuse","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"Mimosa_debilis_debilis","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_acapulcensis","shrub","","capitula","globose","4-merous",NA,NA,NA,NA,"minute","4","pink",NA,NA,"","",NA,"",300,0.6,NA,3,NA,NA,0.055,NA,0.255,NA,NA,0.575
"Mimosa_sousae","shrubs","","capitula","globose","4-5(-6)-merous",NA,NA,NA,NA,"paleaceous","4(10)","pink",NA,NA,"","",NA,"",150,0.8,NA,4.25,NA,NA,0.175,NA,0.35,NA,NA,0.75
"Mimosa_alleniana","subshrub","woody rootstock or xylopodium","capitula","globose or plumply ellipsoid","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",25,NA,NA,1.45,1.45,NA,0.07,NA,0.23,0.1,0.0625,0.625
"Mimosa_brevipetiolata","Herbs","shortly forking subterranean caudex surmounting a fusiformly swollen root","capitula","globose","4-merous",NA,NA,NA,NA,"campanulate","4","pink",NA,NA,"","",NA,"",30,0.7,NA,4.25,NA,NA,0.0175,NA,0.255,0.11,0.0575,0.55
"Mimosa_brevipetiolata_hirtula","","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",22500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_brevipetiolata_hirtula","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_brevipetiolata_brevipetiolata","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_brevipetiolata_pauperoides","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_balansae","perhaps weakly frutescent","","pseudoracemose","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_pedunculosa","herbs","stout woody taproot and shortly forking subterranean caudex","capitula","globose","4- or 5-merous",NA,NA,NA,NA,"campanulate","4","pink",NA,NA,"","",NA,"",32.5,0.65,NA,8,8,NA,0.025,NA,0.255,0.11,0.085,0.525
"Mimosa_petraea","shrublets","","capitula","globose","",NA,NA,NA,NA,"membranous","4","pink",NA,NA,"","",NA,"",20,NA,NA,0.6,NA,NA,0.035,NA,NA,0.1,0.0475,0.475
"Mimosa_leimonias","herb","caudex","capitula","ellipsoid-subglobose","4-merous",NA,NA,NA,NA,"collar","4","pink",NA,NA,"","",NA,"",27.5,NA,NA,3,NA,NA,0.02,NA,0.16,0.07,0.055,0.375
"Mimosa_uninervis","perennial herbs","short caudex and fusiform root","capitula","ellipsoid or globose","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",50,0.7,NA,2.65,NA,NA,NA,NA,0.23,0.11,0.0725,0.625
"Mimosa_oligophylla","herbs","fusiform root and shortly branched caudex","capitula","ovoid","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",100,0.95,NA,0.9,0.9,NA,NA,NA,0.29,0.09,0.05,0.775
"Mimosa_flagellaris","herbaceous subshrubs","stout woody root and shortly branched subterranean caudex","capitula","conelike","4-merous",NA,NA,NA,NA,"campanulate, sometimes reduced to a narrow collar","4","lilac-pink or violet",NA,NA,"","",NA,"",30,0.75,NA,10,NA,NA,0.0375,NA,0.315,0.11,0.0625,0.65
"Mimosa_cainguensis","humifuse herb","fusiform or carrot-like woody root","capitula","hispid-conelike","4-merous",NA,NA,NA,NA,"campanulate","4","lilac-pink",NA,NA,"","",NA,"",40,0.875,NA,11,NA,NA,0.035,NA,0.33,0.09,0.05,0.6
"Mimosa_filipetiola","diffuse or assurgent herbs","","capitula","globose","4-merous",NA,NA,NA,NA,"saucer","4","pink",NA,NA,"","",NA,"",32.5,0.5,NA,4,NA,NA,0.01,NA,0.22,0.08,NA,0.475
"Mimosa_psilocarpa","","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_lactiflua","","","pseudoracemes","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_caerulea","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_margaritae","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_sicyocarpa","Scrambling or arborescent shrubs","","capitulum","","",NA,NA,NA,NA,"campanulate","","",NA,NA,"","",NA,"",600,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA
"Mimosa_deamii","treelet","","pseudoracemose","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_goldmanii","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_tricephala","","","pseudoraceme","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_tricephala_xanti","shrubs and treelets","","capitula","globose","",NA,NA,NA,NA,"","","pink",NA,NA,"","",NA,"",NA,0.6,NA,NA,NA,NA,NA,NA,0.235,NA,NA,0.575
"Mimosa_incarum","shrubs","","capitula","globose or plumply ellipsoid","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",250,0.45,NA,0.95,NA,NA,0.0325,NA,0.22,0.07,0.045,0.45
"Mimosa_boliviana","Shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"paleaceous-pappiform","4","pink",NA,NA,"","",NA,"",225,0.675,NA,4,NA,NA,0.2,NA,0.3,0.13,0.05,0.55
"Mimosa_dolens","herbaceous subshrubs","woody roots","capitula","globose","4-merous",NA,NA,NA,NA,"collar or shallow cup","4","pink",NA,NA,"","",NA,"",95,1.075,NA,6.5,NA,NA,0.1,NA,0.45,NA,NA,0.7
"Mimosa_dolens_acerba","","","","","",NA,NA,NA,NA,"minute or pappiform","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_dolens_acerba","","","capitula","","",NA,NA,NA,NA,"minute or obsolete","","",NA,NA,"","",NA,"",50,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_dolens_latifolia","virgate subshrub","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",105,1.05,NA,2.25,NA,NA,0.01,NA,NA,NA,NA,1.05
"Mimosa_dolens_rudis","Tall, coarsely amply leafy plants","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_dolens_uncta","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_dolens_pubescens","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_dolens_pseudorigida","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_dolens_rigida","virgate","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",110,25,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA
"Mimosa_dolens_rigens","","","capitula","","",NA,NA,NA,NA,"pappiform","","",NA,NA,"","",NA,"",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_dolens_foliolosa","","","capitula","","",NA,NA,NA,NA,"obsolete or almost so","","",NA,NA,"","",NA,"",115,1.05,NA,NA,3,NA,NA,NA,0.4,NA,NA,NA
"Mimosa_dolens_anisitsii","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_dolens_deterior","Erect from woody base","","capitida","moriform","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",30,0.65,NA,1.5,1.5,NA,NA,NA,0.27,NA,NA,NA
"Mimosa_dolens_eriophylla","","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",45,1.1,NA,1,1,NA,0.02,NA,0.525,NA,NA,NA
"Mimosa_dolens_callosa","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_dolens_dolens","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_dolens_dolens","erect","","capitula","","",NA,NA,NA,NA,"campanulate","","",NA,NA,"","",NA,"",150,NA,NA,5,NA,NA,0.0425,0.125,0.405,NA,NA,NA
"Mimosa_dolens_pangloea","subshrubs","","capitula","","",NA,NA,NA,NA,"obsolete","","",NA,NA,"","",NA,"",20,0.925,NA,2.5,2.5,NA,NA,NA,0.4,NA,NA,NA
"Mimosa_lundiana","Shrubs","","pseudoraceme of globose capitula","globose","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",NA,25,NA,2.75,2.75,NA,0.025,NA,0.3,0.1,0.0575,0.8
"Mimosa_insidiosa","subshrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",145,0.625,NA,1.7,1.7,NA,0.02,NA,0.255,0.09,0.04,0.7
"Mimosa_insidiosa_insidiosa","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_insidiosa_major","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_trichocephala","subshrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"rudimentary or obsolete","4","pink",NA,NA,"","",NA,"",NA,0.475,NA,1.15,1.15,NA,NA,NA,0.185,0.05,NA,0.5
"Mimosa_nycteridis","shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"","8","lavender-pink",NA,NA,"","",NA,"",200,0.5,NA,1.25,1.25,NA,NA,NA,0.235,0.09,0.04,0.4
"Mimosa_pusilliceps","Weakly lignescent subshrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",60,0.225,NA,2.15,NA,NA,NA,NA,0.21,0.08,0.045,0.25
"Mimosa_ramosissima","shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"narrowly campanulate","4","pink",NA,NA,"","",NA,"",350,0.45,NA,1.1,NA,NA,0.1,0.02,0.19,0.075,0.04,0.395
"Mimosa_oblonga","shrubs or subshrubs","","capitula","ellipsoid","4-merous",NA,NA,NA,NA,"membranous","4","pink",NA,NA,"","",NA,"",125,0.75,NA,2.25,NA,NA,0.0325,NA,0.175,0.08,0.0475,0.425
"Mimosa_oblonga_oblonga","","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,0.95,NA,2.5,2.5,NA,0.035,NA,0.19,NA,NA,NA
"Mimosa_oblonga_pinetorum","","","capitula","moriform","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,0.55,NA,1.1,1.1,NA,NA,NA,0.14,NA,NA,NA
"Mimosa_orthacantha","Shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"campanulate","4","pink",NA,NA,"","",NA,"",200,0.6,NA,1.9,NA,NA,0.04,NA,0.245,0.08,0.055,0.675
"Mimosa_chaetosphaera","shrub","","capitula","","4-merous",NA,NA,NA,NA,"campanulate","4","pink",NA,NA,"","",NA,"",NA,0.85,NA,2.25,2.25,NA,0.04,NA,0.165,0.06,0.05,0.225
"Mimosa_serra","Subshrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"membranous","4","pink",NA,NA,"","",NA,"",22.5,22.5,NA,1.3,1.3,NA,0.0325,NA,0.275,0.09,0.065,0.525
"Mimosa_sparsiformis","shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"rudimentary","4","pink",NA,NA,"","",NA,"",150,0.625,NA,2.25,NA,NA,0.0125,NA,0.275,0.1,0.05,0.6
"Mimosa_atlantica","shrub","","capitula","ellipsoid","4-merous",NA,NA,NA,NA,"campanulate","4","lilac-pink",NA,NA,"","",NA,"",NA,1.1,NA,2.5,NA,NA,0.0225,NA,0.33,0.08,0.07,0.9
"Mimosa_monticola","shrublets","","capitula","globose","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",NA,0.45,NA,2.5,2.5,NA,NA,NA,0.185,0.085,0.0525,0.435
"Mimosa_monticola_monticola","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_monticola_schwackeana","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_gymnas","subshrubs","","capitula","globose or plumply ovoid","4-merous",NA,NA,NA,NA,"campanulate","4","lilac-pink",NA,NA,"","",NA,"",70,0.475,NA,3.75,NA,NA,0.03,NA,0.235,0.1,0.05,0.5
"Mimosa_sparsa","shrub","","capitula","globose","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",NA,0.625,NA,2.5,2.5,NA,NA,NA,0.33,0.07,0.05,0.7
"Mimosa_glabra","Shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"campanulate","4","pink",NA,NA,"","",NA,"",NA,0.65,NA,2.15,2.15,NA,0.02,NA,0.315,0.09,0.09,0.65
"Mimosa_prionopus","Subshrub","","capitula","globose","4-merous",NA,NA,NA,NA,"narrowly campanulate","4","pink",NA,NA,"","",NA,"",30,0.85,NA,3.25,NA,NA,0.16,NA,0.17,0.13,0.07,0.65
"Mimosa_pseudocallosa","subshrub","woody, adventitiously rooting branched caudex","capitula","globose","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",40,0.625,NA,2.35,NA,NA,0.075,0.0375,0.275,0.1,0.065,0.575
"Mimosa_ourobrancoensis","shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"cup or collar","4","pink",NA,NA,"","",NA,"",350,0.55,NA,3,3,NA,0.0225,NA,NA,NA,NA,0.475
"Mimosa_rupestris","subshrubs","woody base","capitula","globose","4-merous",NA,NA,NA,NA,"cup","4","pink",NA,NA,"","",NA,"",40,0.6,NA,1.8,NA,NA,0.035,NA,0.27,0.12,0.055,0.35
"Mimosa_parvipinna","shrublets","","capitula","globose","4-merous",NA,NA,NA,NA,"campanulate","4","pink",NA,NA,"","",NA,"",60,0.45,NA,0.7,NA,NA,0.0225,NA,0.19,0.06,0.045,0.325
"Mimosa_obstrigosa","shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"campanulate","4","pink",NA,NA,"","",NA,"",250,0.6,NA,1.3,0.01,NA,0.04,NA,0.285,0.1,0.06,0.5
"Mimosa_ramulosa","shrub","","capitula","globose","4-merous",NA,NA,NA,NA,"collar","4","pink or lilac",NA,NA,"","",NA,"",200,0.35,NA,0.9,NA,NA,0.0125,NA,0.17,0.09,0.06,0.135
"Mimosa_tandilensis","shrublets","","capitula","globose","4-merous",NA,NA,NA,NA,"campanulate","4","pale pink",NA,NA,"","",NA,"",100,0.45,NA,NA,NA,NA,0.015,NA,0.2,0.08,NA,0.2
"Mimosa_adpressa","shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"shallowly campanulate","4","pink",NA,NA,"","",NA,"",95,0.575,NA,0.25,NA,NA,0.0175,NA,0.285,0.08,NA,0.4
"Mimosa_sprengelii","shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"collar","4","pink or lilac",NA,NA,"","",NA,"",200,0.4,NA,0.325,NA,NA,0.015,NA,0.185,0.08,0.055,0.3
"Mimosa_ramboi","shrublets","","capitula","globose or plumply ellipsoid","4-merous",NA,NA,NA,NA,"vestigial ring","4","pink",NA,NA,"","",NA,"",50,0.6,NA,2.5,NA,NA,NA,NA,0.3,0.08,NA,0.5
"Mimosa_pudica","subshrubs, herbs","","capitula","ellipsoid","4-merous",NA,NA,NA,NA,"campanulate cup","4","pink",NA,NA,"","",NA,"",120,0.425,NA,2,NA,NA,0.015,NA,0.18,0.07,0.045,0.475
"Mimosa_pudica_unijuga","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_pudica_tetrandra","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_pudica_pastoris","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_pudica_hispida","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_polydactyla","herbs","","capitula","ovoid-ellipsoid","4-merous",NA,NA,NA,NA,"submembranous","4","pale pink or whitish",NA,NA,"","",NA,"",105,0.35,NA,1.1,NA,NA,0.03,NA,0.14,0.07,0.04,0.225
"Mimosa_huberi","suffruticose serbs or clambering subshrubs","","capitula","ellipsoid","4-merous",NA,NA,NA,NA,"pappiform","4","pink fading whitish",NA,NA,"","",NA,"",100,0.8,NA,1.7,1.7,NA,0.1,NA,0.13,0.06,0.03,0.45
"Mimosa_guaviarensis","subshrubs","","capitula","ovoidellipsoid","4-merous",NA,NA,NA,NA,"collar","4","pink",NA,NA,"","",NA,"",NA,0.5,NA,1.35,NA,NA,0.01,NA,0.18,0.05,NA,0.3
"Mimosa_verecunda","shrubs and subshrubs","","capitula","ovoid","4-merous",NA,NA,NA,NA,"paleaceous-pappiform","4","lilac-pink",NA,NA,"","",NA,"",200,0.5,NA,1.35,NA,NA,NA,NA,0.225,0.08,0.045,0.5
"Mimosa_xanthocentra","subshrubs","woody roots or short caudex","capitula","ovoid-ellipsoid","4-merous",NA,NA,NA,NA,"paleaceous-pappiform","4","pink",NA,NA,"","",NA,"",90,0.75,NA,1.25,NA,NA,0.215,NA,0.23,0.11,0.055,0.725
"Mimosa_xanthocentra_xanthocentra","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_xanthocentra_xanthocentra","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_xanthocentra_mansii","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_xanthocentra_subsericea","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_xanthocentra_longepetiolata","shrub","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_xanthocentra_subsericea","","","capitula","ellipsoid","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_xanthocentra_exilis","","","capitulis","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
"Mimosa_xanthocentra_miseranda","little mimosa","","capitulis","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
"Mimosa_xanthocentra_tremula","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,0.375,0.375,NA,NA,NA,NA,NA,NA,NA
"Mimosa_xanthocentra_tremula","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_xanthocentra_tenuis","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_centurionis","perennial herb","taproot or xylopodium","capitula","ellipsoid","4-merous",NA,NA,NA,NA,"spathiform","4","pink",NA,NA,"","",NA,"",62.5,1.25,NA,7,7,NA,0.08,NA,0.28,0.08,0.05,0.875
"Mimosa_morongii","herbs","fusiform taproot","capitula","ellipsoid","4-merous",NA,NA,NA,NA,"spathiform","4","lilac-pink",NA,NA,"","",NA,"",NA,0.95,NA,2.5,2.5,NA,0.08,NA,0.22,0.08,0.06,0.75
"Mimosa_bipennatula","shrublet","","capitula","ovoid","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",100,0.3,NA,0.45,0.45,NA,0.065,NA,0.16,0.06,0.04,0.6
"Mimosa_jacobita","shrublet","","capitula","obovoid-ellipsoid","4-merous",NA,NA,NA,NA,"paleaceous-pappiform","4","pink",NA,NA,"","",NA,"",NA,0.65,NA,0.65,NA,NA,0.16,NA,0.195,0.08,0.035,0.6
"Mimosa_affinis","herbs","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,0.3,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.3
"Mimosa_disperma","herb","","capitula","ovoid","4-merous",NA,NA,NA,NA,"shallowly campanulate","4","pink",NA,NA,"","",NA,"",NA,NA,NA,1.05,NA,NA,0.03,NA,0.165,0.08,0.04,0.225
"Mimosa_tequilana","herbs","","capitula","","4-merous",NA,NA,NA,NA,"","4(10)","",NA,NA,"","",NA,"",55,0.325,NA,NA,NA,NA,0.01,NA,0.2,NA,NA,0.29
"Mimosa_niomarlei","Diffuse or subscandent Herbs","","capitula","","4-merous",NA,NA,NA,NA,"subtruncate","4","pink",NA,NA,"","",NA,"",NA,NA,NA,1.5,NA,NA,0.02,NA,0.18,0.06,NA,0.2
"Mimosa_simplicissima","herb","","capitula","globose","4-merous",NA,NA,NA,NA,"","4","lilac-pink",NA,NA,"","",NA,"",90,0.55,NA,NA,NA,NA,NA,NA,0.27,NA,0.04,0.4
"Mimosa_hypoglauca","subshrubs","xylopodium","capitula","globose","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",107.5,0.775,NA,3.5,NA,NA,0.22,0.065,0.335,0.13,0.07,0.65
"Mimosa_hypoglauca_hypoglauca","","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_hypoglauca_allostegia","","","capitulorum","moriformium","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64
"Mimosa_hypoglauca_dawsonii","","","capitula","moriform","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",32.5,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_hypoglauca_syncollandra","","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_calocephala","subshrubs","","capitula","subglobose","4-merous",NA,NA,NA,NA,"narrowly vaseshaped","4","pink",NA,NA,"","",NA,"",40,1.55,NA,3.75,NA,NA,0.5,0.215,0.59,0.13,0.0475,0.8
"Mimosa_calocephala_calocephala","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_calocephala_pohlii","","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_polycephala","subshrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",150,0.75,NA,1.55,NA,NA,0.19,0.135,0.3,0.11,0.055,0.575
"Mimosa_polycephala_taxifolia","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",52500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_polycephala_polycephala","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_papposa","subshrubs","","capitula","globose","",NA,NA,NA,NA,"","","pink",NA,NA,"","",NA,"",85,0.825,NA,1.95,NA,NA,0.2,NA,0.32,0.15,0.055,0.6
"Mimosa_papposa_papposa","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",92500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_papposa_segrex","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,0.85,0.85,NA,NA,NA,NA,NA,NA,NA
"Mimosa_venatorum","subshrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"","4","pink fading whitish",NA,NA,"","",NA,"",70,0.9,NA,2.25,NA,NA,NA,NA,0.35,0.13,0.065,0.825
"Mimosa_pyrenea","subshrubs","knotty xylopodium","capitula","globose","4-merous",NA,NA,NA,NA,"","4","",NA,NA,"","",NA,"",95,0.825,NA,1.9,NA,NA,0.26,NA,0.34,0.14,0.07,0.6
"Mimosa_callithrix","shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"narrowly campanulate","4","pink",NA,NA,"","",NA,"",175,0.9,NA,3.25,NA,NA,0.375,NA,0.525,0.15,0.065,0.65
"Mimosa_thermarum","subshrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"paleaceous","4","pink",NA,NA,"","",NA,"",175,17.5,NA,1.75,1.75,NA,0.2,NA,0.27,0.1,0.055,0.3
"Mimosa_lanuginosa","subshrubs","xylopodium","capitula","globose","4-merous",NA,NA,NA,NA,"4-angulate","4","pink",NA,NA,"","",NA,"",120,1.1,NA,2.5,NA,NA,0.365,0.14,0.5,0.14,0.06,0.675
