"Tip_in_tree" "rate"
"Inga_adenophylla" 0.00746851177739868
"Inga_interrupta" 0.00756239536667982
"Inga_fendleriana" 0.0056648820795752
"Inga_mucuna" 0.00585676612083087
"Inga_villosissima" 0.00413685109112798
"Inga_ingoides" 0.0073028251524319
"Inga_calcicola" 0.00507372821228385
"Inga_barbourii" 0.0130999256972253
"Inga_punctata" 0.00438877492488779
"Inga_herrerae" 0.00647886213503665
"Inga_pauciflora" 0.00408232526739087
"Inga_venusta" 0.00708405006452453
"Inga_megaphylla" 0.00230384421178005
"Inga_acuminata" 0.00333392966126475
"Inga_cordistipula" 0.00367815709431832
"Inga_longispica" 0.00550203111233044
"Inga_paterno" 0.00318614868438124
"Inga_gereauana" 0.00546757984221224
"Inga_latipes" 0.00554206424746373
"Inga_stenoptera" 0.00403098738583164
"Inga_lineata" 0.00663621654157634
"Inga_maritima" 0.00420737978123155
"Inga_sessilis" 0.00436916149262646
"Inga_vulpina" 0.00278024620551466
"Inga_feuillei" 0.00591396568719084
"Inga_lentiscifolia" 0.00398879543381572
"Inga_edulis" 0.00373065329661668
"Inga_cocleensis" 0.00601553329500756
"Inga_carinata" 0.00498413954861875
"Inga_crassiflora" 0.00705448718356645
"Inga_ciliata" 0.00377846928318262
"Inga_hayesii" 0.00591650222945183
"Inga_cordatoalata" 0.00479437986883378
"Inga_blanchetiana" 0.00698004472806161
"Inga_barbata" 0.004144200109901
"Inga_skutchii" 0.00972633266901338
"Inga_saltensis" 0.00682938895801091
"Inga_cookii" 0.0075970932428503
"Inga_samanensis" 0.00475131956388747
"Inga_tonduzii" 0.00827347705884251
"Inga_mortoniana" 0.00814556706640173
"Inga_acrocephala" 0.00476474361863197
"Inga_lallensis" 0.00360600689267943
"Inga_acreana" 0.00412545890472095
"Inga_multinervis" 0.00606315814418874
"Inga_melinonis" 0.00391221185480191
"Inga_pezizifera" 0.00435016741448593
"Inga_alata" 0.00459830588043052
"Inga_tomentosa" 0.00372185015995606
"Inga_maynensis" 0.00310662985232039
"Inga_coruscans" 0.00376081254935855
"Inga_belizensis" 0.00525176012591726
"Inga_laurina" 0.00352289712878802
"Inga_bourgoni" 0.00408063581374567
"Inga_densiflora" 0.00464535358512393
"Inga_pseudoinvolucrata" 0.00280559428375562
"Inga_bella" 0.00822095288356289
"Inga_marginata" 0.0142793480415329
"Inga_cecropietorum" 0.00383876599392529
"Inga_inicuil" 0.0046074661469152
"Inga_pilosula" 0.0053118956578881
"Inga_brevipes" 0.0044708790861132
