"clade","taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","na_percent"
25,"Macrosamanea_simabifolia","shrubs",NA,"capitula",NA,NA,NA,NA,NA,NA,"cylindric or slightly dilated above middle",NA,NA,NA,NA,NA,NA,NA,"",400,NA,NA,3.75,NA,NA,0.575,0.105,1.75,0.3,NA,NA,68.9655172413793
26,"Robrichia_schomburgkii","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276
27,"Blanchetiodendron_blanchetii","tree",NA,"capitula",NA,"5-merous",NA,NA,"yes",NA,"turbinate-campanulate or somewhat urn-shaped",NA,"white",NA,"present","present",NA,NA,"",600,4,NA,1.05,0.375,0.035,0.25,0.0175,0.45,0.18,0.11,1.35,34.4827586206897
28,"Albizia_aurisparsa","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276
28,"Albizia_bernieri","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276
28,"Albizia_commiphoroides","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276
29,"Albizia_tulearensis","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276
30,"Albizia_kostermansii","tree","","pedunculate glomerules","pedunculate glomerules aggregated into terminal, shortly, tomentose panicles","5","","","","","","","","","","","","","",30,NA,NA,16,NA,NA,1.9,0.15,5.85,1.75,NA,15,17.2413793103448
31,"Albizia_procera","tree",NA,"capitula","subglobose","5-merous",NA,NA,NA,NA,"deeply campanulate","30","whitish",NA,"present",NA,"present",NA,"",300,NA,NA,1.3,1.3,NA,0.295,0.04,0.61,0.17,NA,1,41.3793103448276
32,"Albizia_julibrissin","trees",NA,"pseudoraceme of capitula",NA,NA,"bisexual","staminate","dimorphic",NA,"campanulate or deeply campannlate",NA,"pink or pinkish orange",NA,"the stemonozone 1 mm or less","the filament-tube far-exserted",NA,NA,"",900,6,NA,NA,0.08,NA,0.32,0.05,0.9,0.195,0.105,3.1,37.9310344827586
33,"Albizia_chevalieri","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276
33,"Albizia_carrii","tree","","pedunculate flowers","pedunculate flowers bearing corymbs","5","","","","","","numerous","white","","","","","","",3000,NA,NA,37.5,5,NA,3.25,0.5,7,3,NA,25,13.7931034482759
34,"Albizia_gummifera","tree","","","","","","","","","","","white, crimson","","","","","","",3000,NA,NA,6.5,0.5,NA,3.75,NA,9.25,NA,NA,NA,24.1379310344828
35,"Enterolobium_timbouva","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276
36,"Enterolobium_barnebianum","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276
37,"Chloroleucon_foliolosum","arborescent shrubs",NA,"capitula","hemispherical","5- merous",NA,NA,"present",NA,"campanulate",NA,NA,NA,NA,NA,"present",NA,"",550,NA,NA,1.35,NA,NA,0.13,0.015,0.42,0.135,0.07,1.225,48.2758620689655
38,"Samanea_saman","tree",NA,"capitula","hemispherical","5-9-merous",NA,NA,"yes",NA,"slenderly vase-shaped",NA,"white proximally, pink or red distally",NA,"present",NA,NA,NA,"",2750,NA,NA,6.25,0.225,0.045,0.59,0.095,1.1,0.255,0.135,3.25,37.9310344827586
39,"Pseudosamanea_guachapele","tree","","pedunculate, umbellate","","5","","","","","","","","","","","","","",2500,NA,NA,NA,NA,NA,6.5,NA,9.5,NA,NA,NA,31.0344827586207
40,"Pseudosamanea_carbonaria","Trees",NA,"capitula",NA,"S-merous",NA,NA,"yes",NA,"narrowly campanulate",NA,"white",NA,"present","present",NA,NA,"",500,1.35,NA,3.2,0.275,NA,0.3,0.09,0.54,0.175,NA,1.475,41.3793103448276
41,"Jupunba_longipedunculata","shrubs and srees",NA,"capitula",NA,"5-merous",NA,NA,NA,NA,"narrowly campanulate","36",NA,NA,"present",NA,NA,NA,"",1100,NA,NA,8.75,NA,NA,0.615,0.12,0.875,0.2,NA,NA,58.6206896551724
41,"Jupunba_turbinata",NA,NA,"capitulum",NA,NA,NA,NA,"yes",NA,"turbinate",NA,NA,NA,NA,NA,NA,NA,"",NA,1.5,NA,12,0.15,NA,0.4,NA,0.65,NA,NA,NA,68.9655172413793
41,"Jupunba_ganymedea","trees",NA,"capitula",NA,"S-merous",NA,"present","present",NA,NA,"10",NA,NA,"present",NA,NA,NA,"",2000,1,1.85,2.75,0.065,NA,0.11,0.04,0.41,0.17,0.07,1.55,37.9310344827586
41,"Jupunba_oppositifolia","trees",NA,"capitula",NA,"5-merous",NA,NA,NA,NA,NA,"47",NA,NA,"present",NA,NA,NA,"",750,0.4,NA,6,0.15,NA,0.38,0.055,0.66,0.265,0.135,1.35,48.2758620689655
41,"Hydrochorea_leucocalyx","trees",NA,"","","","","","","","",NA,"",NA,"","","","","",2250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2758620689655
