"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","WarningsEng"
"73","Mimosa grahamii var. prolifica",1,"1232342","Mimosa grahamii var. prolifica",1,"variety","","",NA,"(S.Watson) Barneby","Fabaceae","Mimosa","Mimosa",1,"grahamii","grahamii",1,"","",NA,"var.","prolifica",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967247-1","","Y","Accepted","Mimosa grahamii var. prolifica","Mimosa grahamii","(S.Watson) Barneby","1232342","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967247-1","","Fabaceae","1","1","wcvp","0",""
"74","Mimosa minutifolia",1,"1040249","Mimosa minutifolia",1,"species","","",NA,"B.L.Rob. & Greenm.","Fabaceae","Mimosa","Mimosa",1,"minutifolia","minutifolia",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161831-2","","Y","Accepted","Mimosa minutifolia","Mimosa minutifolia","B.L.Rob. & Greenm.","1040249","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161831-2","","Fabaceae","1","1","wcvp","0",""
"75","Mimosa lacerata",1,"167647","Mimosa lacerata",1,"species","","",NA,"Rose","Fabaceae","Mimosa","Mimosa",1,"lacerata","lacerata",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280945-2","","Y","Accepted","Mimosa lacerata","Mimosa lacerata","Rose","167647","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280945-2","","Fabaceae","1","1","wcvp","0",""
"76","Mimosa aspera",1,"167553","Mimosa aspera",1,"species","","",NA,"M.E.Jones","Fabaceae","Mimosa","Mimosa",1,"aspera","aspera",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161505-2","","Y","Accepted","Mimosa aspera","Mimosa aspera","M.E.Jones","167553","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161505-2","","Fabaceae","1","1","wcvp","0",""
"77","Mimosa barrancana",1,"167557","Mimosa barrancana",1,"species","","",NA,"Gentry","Fabaceae","Mimosa","Mimosa",1,"barrancana","barrancana",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161525-2","","Y","Accepted","Mimosa barrancana","Mimosa barrancana","Gentry","167557","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161525-2","","Fabaceae","1","1","wcvp","0",""
"78","Mimosa moniliformis",1,"1232343","Mimosa moniliformis",1,"species","","",NA,"(Britton & Rose) R.Grether & Barneby","Fabaceae","Mimosa","Mimosa",1,"moniliformis","moniliformis",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1157698-2","","Y","Accepted","Mimosa moniliformis","Mimosa moniliformis","(Britton & Rose) R.Grether & Barneby","1232343","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1157698-2","","Fabaceae","1","1","wcvp","0",""
"79","Mimosa gentryi",1,"1232344","Mimosa gentryi",1,"species","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"gentryi","gentryi",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312706-2","","Y","Accepted","Mimosa gentryi","Mimosa gentryi","Barneby","1232344","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312706-2","","Fabaceae","1","1","wcvp","0",""
"80","Mimosa pringlei",1,"167704","Mimosa pringlei",1,"species","","",NA,"S.Watson","Fabaceae","Mimosa","Mimosa",1,"pringlei","pringlei",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161907-2","","Y","Accepted","Mimosa pringlei","Mimosa pringlei","S.Watson","167704","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161907-2","","Fabaceae","1","1","wcvp","0",""
"81","Mimosa pringlei var. pringlei",1,"1389091","Mimosa pringlei var. pringlei",1,"variety","","",NA,"","Fabaceae","Mimosa","Mimosa",1,"pringlei","pringlei",1,"","",NA,"var.","pringlei",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190568-1","","Y","Accepted","Mimosa pringlei var. pringlei","Mimosa pringlei","","1389091","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190568-1","","Fabaceae","1","1","wcvp","0",""
"82","Mimosa pringlei var. graminetorum",1,"1369757","Mimosa pringlei var. graminetorum",1,"variety","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"pringlei","pringlei",1,"","",NA,"var.","graminetorum",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312707-2","","Y","Accepted","Mimosa pringlei var. graminetorum","Mimosa pringlei","Barneby","1369757","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312707-2","","Fabaceae","1","1","wcvp","0",""
