"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","Phylo_nitfix","NGS_acacia","flora_AUS_traits"
"Acacia_rivalis","shrub or tree",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",400,3.5,NA,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_araneosa","tree",NA,"racemose","globular","S-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",550,6.5,NA,0.85,0.85,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_cretacea","shrub or tree",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",400,3,0.45,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_gillii","shrub or tree",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",300,5,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_validinervia","shrub",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",250,3.75,0.55,0.35,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_steedmanii","shrub or tree",NA,"heads","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",400,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_retinodes","Shrub or tree",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",750,2.35,NA,0.45,0.45,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_retinodes","shrub or tree",NA,"heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_uncifolia","shrub or tree","spreading by runners and coppicing to form dense groves","Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_confluens","Shrub",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",250,3,0.8,1.05,1.05,NA,NA,NA,NA,NA,NA,NA,1,0,1
